id,City,State,District,Density,Latitude,Longitude,Rating,Number of Reviews
Hospital #0,Anantpur,Andhra Pradesh,Ananthapuramu,219.608,14.696532573816466,77.5845696812239,4.1,229
Hospital #1,Anantpur,Andhra Pradesh,Ananthapuramu,219.608,14.660634599686995,77.57934210631872,4.9,19172
Hospital #2,Chitoor,Andhra Pradesh,Chittoor,273.23,13.229217171761988,79.08447238508815,3.9,139
Hospital #3,Chittoor,Andhra Pradesh,Chittoor,273.23,13.303435180892292,78.97211670732672,4.0,92
Hospital #4,East Godavari,Andhra Pradesh,East Godavari,715.46,16.970994716195186,82.2303962455134,4.8,8090
Hospital #5,East Godavari,Andhra Pradesh,East Godavari,715.46,16.33095886027219,80.4615551422084,4.4,467
Hospital #6,Guntur,Andhra Pradesh,Guntur,855.9,16.304665371173602,80.42615157785502,4.8,1121
Hospital #7,Guntur,Andhra Pradesh,Guntur,855.9,16.299439227373856,80.02127093796369,4.5,479
Hospital #8,Guntur,Andhra Pradesh,Guntur,855.9,16.27782019913075,80.03962179597357,4.6,940
Hospital #9,Guntur,Andhra Pradesh,Guntur,855.9,16.338983834280008,80.55891798770435,4.0,38
Hospital #10,Guntur,Andhra Pradesh,Guntur,855.9,16.276937603022017,80.43699795995973,4.8,1989
Hospital #11,Guntur,Andhra Pradesh,Guntur,855.9,16.35681097694647,80.41093695828027,4.3,439
Hospital #12,Guntur,Andhra Pradesh,Guntur,855.9,16.248378192058112,80.36956293029205,4.0,392
Hospital #13,Guntur,Andhra Pradesh,Guntur,855.9,16.39529729071638,80.50233162057708,3.1,487
Hospital #14,Guntur,Andhra Pradesh,Guntur,855.9,16.250507659236455,80.35677880705212,3.0,252
Hospital #15,Guntur,Andhra Pradesh,Guntur,855.9,16.23115384908339,80.48399400837442,2.7,26
Hospital #16,Guntur,Andhra Pradesh,Guntur,855.9,16.486378855179915,80.04728021729382,3.4,76
Hospital #17,Guntur,Andhra Pradesh,Guntur,855.9,16.284372299701715,80.40853384583733,4.7,913
Hospital #18,Guntur,Andhra Pradesh,Guntur,855.9,16.314286291683274,80.4597193136164,4.6,575
Hospital #19,Guntur,Andhra Pradesh,Guntur,855.9,16.3243416329625,80.41280052571909,4.7,317
Hospital #20,Guntur,Andhra Pradesh,Guntur,855.9,16.29513292333803,80.4316695289919,4.4,281
Hospital #21,Guntur,Andhra Pradesh,Guntur,855.9,16.200465367682924,80.00290279776303,4.0,34
Hospital #22,Guntur,Andhra Pradesh,Guntur,855.9,16.30249851437953,80.43413724244195,4.6,575
Hospital #23,Guntur,Andhra Pradesh,Guntur,855.9,16.250142607358754,80.37129326808581,4.3,116
Hospital #24,Guntur,Andhra Pradesh,Guntur,855.9,16.34687162003222,80.55983634446578,4.2,16
Hospital #25,Guntur,Andhra Pradesh,Guntur,855.9,16.410068089043385,80.40154284396147,3.2,142
Hospital #26,Guntur,Andhra Pradesh,Guntur,855.9,16.307280099983082,80.42794990894367,4.6,443
Hospital #27,Guntur,Andhra Pradesh,Guntur,855.9,16.337919417440453,79.95152324445125,2.6,30
Hospital #28,Guntur,Andhra Pradesh,Guntur,855.9,16.301770681777008,80.44456970332085,4.8,19688
Hospital #29,Guntur,Andhra Pradesh,Guntur,855.9,16.38517875460687,80.30051259374858,3.2,161
Hospital #30,Guntur,Andhra Pradesh,Guntur,855.9,16.066828712528896,80.42686360085742,5.0,2
Hospital #31,Guntur,Andhra Pradesh,Guntur,855.9,16.30284318872382,80.51240553090143,2.7,168
Hospital #32,Guntur,Andhra Pradesh,Guntur,855.9,16.353511834690217,80.39153042579285,4.3,28
Hospital #33,Guntur,Andhra Pradesh,Guntur,855.9,16.337472725646204,80.44539567392478,4.4,2171
Hospital #34,Guntur,Andhra Pradesh,Guntur,855.9,16.240588758064305,80.1089528676354,2.3,92
Hospital #35,Guntur,Andhra Pradesh,Guntur,855.9,16.45554293378526,80.50209767997183,4.0,9
Hospital #36,Guntur,Andhra Pradesh,Guntur,855.9,16.273210095236287,80.46126205700541,4.5,479
Hospital #37,Guntur,Andhra Pradesh,Guntur,855.9,16.37446863527412,80.52953321710174,4.0,45
Hospital #38,Guntur,Andhra Pradesh,Guntur,855.9,16.37496436323442,80.31089032511025,5.0,11
Hospital #39,Guntur,Andhra Pradesh,Guntur,855.9,16.38769581036906,80.08647938453377,3.2,13
Hospital #40,Guntur,Andhra Pradesh,Guntur,855.9,16.3126256896706,80.47413895638394,4.1,439
Hospital #41,Guntur,Andhra Pradesh,Guntur,855.9,16.3434197397175,80.44037332268107,4.6,742
Hospital #42,Guntur,Andhra Pradesh,Guntur,855.9,14.341428353881549,78.77691679863644,2.9,28
Hospital #43,Kadapa,Andhra Pradesh,Ysr Kadapa,183.532,14.466520400587791,78.84326319114953,3.9,162
Hospital #44,Kadapa,Andhra Pradesh,Ysr Kadapa,183.532,14.484706992506537,78.80586845894406,3.7,180
Hospital #45,Kadapa,Andhra Pradesh,Ysr Kadapa,183.532,14.470661640087528,78.82192448770056,4.9,1889
Hospital #46,Kadapa,Andhra Pradesh,Ysr Kadapa,183.532,14.458795384994133,78.83310235486508,3.3,57
Hospital #47,Kadapa,Andhra Pradesh,Ysr Kadapa,183.532,14.505292878714704,78.75341414085172,3.3,89
Hospital #48,Kadapa,Andhra Pradesh,Ysr Kadapa,183.532,14.469167252919728,78.81863393078899,2.8,135
Hospital #49,Kakinada,Andhra Pradesh,Kakinada,693.04,17.033348253057497,82.22018896672532,4.9,4941
Hospital #50,Kakinada,Andhra Pradesh,Kakinada,693.04,15.827262948027276,78.04021836041206,4.7,2160
Hospital #51,Kurnool,Andhra Pradesh,Kurnool,284.67,15.833251856909897,78.03491913940833,4.8,1359
Hospital #52,Kurnool,Andhra Pradesh,Kurnool,284.67,15.770867406890616,78.03947406362373,3.6,414
Hospital #53,Kurnool,Andhra Pradesh,Kurnool,284.67,15.444278311724698,78.49048458684956,3.2,84
Hospital #54,Kurnool,Andhra Pradesh,Kurnool,284.67,15.478322619967628,78.47812322945379,4.2,100
Hospital #55,Kurnool,Andhra Pradesh,Kurnool,284.67,15.491595691581466,78.4669140700423,4.7,7615
Hospital #56,Nandyal,Andhra Pradesh,Nandyal,184.032,15.463547925124136,78.52193415946226,3.3,59
Hospital #57,Nandyal,Andhra Pradesh,Nandyal,184.032,15.514889654516594,78.49942338658286,3.4,25
Hospital #58,Nandyal,Andhra Pradesh,Nandyal,184.032,15.48727483242105,78.4296866823078,3.7,232
Hospital #59,Nandyal,Andhra Pradesh,Nandyal,184.032,15.389756601796671,78.4469496045302,4.2,24
Hospital #60,Nelamangala,Andhra Pradesh,Bangalore Rural,441.0,18.1670625,83.4464929,4.0,73
Hospital #61,Nellore,Andhra Pradesh,Nellore,236.0,14.410310751497176,80.00197981156052,3.5,66
Hospital #62,Nellore,Andhra Pradesh,Nellore,236.0,14.530603915925036,79.95286473075723,3.9,67
Hospital #63,Nellore,Andhra Pradesh,Nellore,236.0,14.442023929923684,79.95349572002995,4.9,105
Hospital #64,Nellore,Andhra Pradesh,Nellore,236.0,14.417458910672469,79.92314950582002,3.9,21
Hospital #65,Nellore,Andhra Pradesh,Nellore,236.0,14.5000445864409,79.94529820442895,4.5,20
Hospital #66,Nellore,Andhra Pradesh,Nellore,236.0,14.43669262995099,79.9928041986446,4.9,13062
Hospital #67,Nellore,Andhra Pradesh,Nellore,236.0,14.471349234463815,79.97068964116961,4.1,90
Hospital #68,Nellore,Andhra Pradesh,Nellore,236.0,14.456045577253152,79.9838487933919,4.7,1845
Hospital #69,Nellore,Andhra Pradesh,Nellore,236.0,14.130460407170151,79.88333900810004,4.0,151
Hospital #70,Nellore,Andhra Pradesh,Nellore,236.0,14.378376542779534,79.9891380609805,3.6,132
Hospital #71,Nellore,Andhra Pradesh,Nellore,236.0,14.47063612237027,79.97359550436475,4.6,15
Hospital #72,Nellore,Andhra Pradesh,Nellore,236.0,14.442501647978675,79.9789955769064,4.1,229
Hospital #73,Nellore,Andhra Pradesh,Nellore,236.0,14.42941602207874,79.9910566053979,4.1,199
Hospital #74,Nellore,Andhra Pradesh,Nellore,236.0,14.460074264769023,80.00368004755758,3.0,29
Hospital #75,Nellore,Andhra Pradesh,Nellore,236.0,14.45578580899101,79.92091253084178,4.3,82
Hospital #76,Ongole,Andhra Pradesh,Prakasam,160.0,15.50592427373531,80.03080159392952,3.6,35
Hospital #77,Ongole,Andhra Pradesh,Prakasam,160.0,15.497340729114214,80.03480417706339,4.4,40
Hospital #78,Ongole,Andhra Pradesh,Prakasam,160.0,15.622570449314928,79.99142191394283,3.1,47
Hospital #79,Ongole,Andhra Pradesh,Prakasam,160.0,15.520991705551506,80.03092807425688,4.7,193
Hospital #80,Ongole,Andhra Pradesh,Prakasam,160.0,15.556692014821657,80.05001988773634,3.8,47
Hospital #81,Ongole,Andhra Pradesh,Prakasam,160.0,15.512155796830662,80.05025315468981,3.6,103
Hospital #82,Proddutur,Andhra Pradesh,Ysr Kadapa,183.532,14.70350719098175,78.54262760917568,4.3,11
Hospital #83,Proddutur,Andhra Pradesh,Ysr Kadapa,183.532,14.795061323780608,78.51921981549705,3.8,33
Hospital #84,Proddutur,Andhra Pradesh,Ysr Kadapa,183.532,14.745297847268636,78.51729858922384,3.6,33
Hospital #85,Rajahmundry,Andhra Pradesh,East Godavari,715.46,17.028181883282425,81.81210307578621,5.0,190
Hospital #86,Srikakulam,Andhra Pradesh,Srikakulam,477.34,16.580504256552313,81.70734518769693,3.5,26
Hospital #87,Tadepalligudem,Andhra Pradesh,West Godavari,817.3,16.826144322733317,81.77596877192055,4.0,41
Hospital #88,Tanuku,Andhra Pradesh,West Godavari,817.3,16.815795444837967,81.6797409051013,3.8,76
Hospital #89,Tanuku,Andhra Pradesh,West Godavari,817.3,16.746191776714536,81.7246141001579,4.6,37
Hospital #90,Tanuku,Andhra Pradesh,West Godavari,817.3,16.762792264860575,81.67061553653826,4.4,132
Hospital #91,Tirupati,Andhra Pradesh,Tirupati,241.72,13.595494866272436,79.40312800341576,3.8,102
Hospital #92,Tirupati,Andhra Pradesh,Tirupati,241.72,13.634939344525272,79.42737863304455,4.3,1080
Hospital #93,Tirupati,Andhra Pradesh,Tirupati,241.72,13.616664487787382,79.41373341935443,4.5,92
Hospital #94,Tirupati,Andhra Pradesh,Tirupati,241.72,13.621316502868416,79.40268717421604,4.2,90
Hospital #95,Tirupati,Andhra Pradesh,Tirupati,241.72,13.626769326653868,79.34083407059133,4.6,57
Hospital #96,Tirupati,Andhra Pradesh,Tirupati,241.72,13.664737526641154,79.44644016229505,4.2,132
Hospital #97,Tirupati,Andhra Pradesh,Tirupati,241.72,13.608188064858153,79.3799867758066,3.6,203
Hospital #98,Tirupati,Andhra Pradesh,Tirupati,241.72,13.640461036155298,79.44457309964778,4.4,392
Hospital #99,Tirupati,Andhra Pradesh,Tirupati,241.72,13.629339334640957,79.39382699525872,4.3,1449
Hospital #100,Tirupati,Andhra Pradesh,Tirupati,241.72,13.561225705555335,79.36541006259053,4.4,59
Hospital #101,Tirupati,Andhra Pradesh,Tirupati,241.72,13.639744504079292,79.40858656089063,3.9,117
Hospital #102,Tirupati,Andhra Pradesh,Tirupati,241.72,13.641819170632251,79.42144215430585,4.7,1239
Hospital #103,Tirupati,Andhra Pradesh,Tirupati,241.72,13.630097389654528,79.4509831413769,4.9,9953
Hospital #104,Vijayawada,Andhra Pradesh,Krishna,459.602,16.510485151288297,80.59290771939907,4.6,2201
Hospital #105,Vijayawada,Andhra Pradesh,Krishna,459.602,16.4931736869628,80.5834832962945,4.2,819
Hospital #106,Vijayawada,Andhra Pradesh,Krishna,459.602,16.47325813727966,80.60520535572579,4.7,7951
Hospital #107,Vijayawada,Andhra Pradesh,Krishna,459.602,16.49614400981399,80.58969706764677,4.8,6594
Hospital #108,Vijayawada,Andhra Pradesh,Krishna,459.602,16.467543272911264,80.65036148357943,4.3,96
Hospital #109,Vijayawada,Andhra Pradesh,Krishna,459.602,16.491734702981407,80.66795144861761,4.7,4262
Hospital #110,Vijayawada,Andhra Pradesh,Krishna,459.602,16.525618629661558,80.61319055790234,3.7,295
Hospital #111,Vijayawada,Andhra Pradesh,Krishna,459.602,16.51998518625105,80.63033904706388,3.6,149
Hospital #112,Vijayawada,Andhra Pradesh,Krishna,459.602,16.502710180198143,80.66426228359472,4.6,1297
Hospital #113,Vijayawada,Andhra Pradesh,Krishna,459.602,16.50198909810127,80.62938333737694,4.5,811
Hospital #114,Vijayawada,Andhra Pradesh,Krishna,459.602,16.39566000673991,80.53196827166262,5.0,1
Hospital #115,Vijayawada,Andhra Pradesh,Krishna,459.602,16.539703008476824,80.67391463565193,4.3,1899
Hospital #116,Vijayawada,Andhra Pradesh,Krishna,459.602,16.46347418664767,80.68094646041104,3.6,127
Hospital #117,Vijayawada,Andhra Pradesh,Krishna,459.602,16.538526063401623,80.59906437555853,3.2,115
Hospital #118,Vijayawada,Andhra Pradesh,Krishna,459.602,16.490882102643873,80.60690639875773,4.8,6594
Hospital #119,Vijayawada,Andhra Pradesh,Krishna,459.602,16.503732515539028,80.64407195911981,4.5,1609
Hospital #120,Vijayawada,Andhra Pradesh,Krishna,459.602,16.551859470943207,80.73015999389806,4.0,80
Hospital #121,Vijayawada,Andhra Pradesh,Krishna,459.602,16.22501820029611,80.72225660863606,3.3,4
Hospital #122,Vijaywada,Andhra Pradesh,Krishna,459.602,16.5063708257186,80.60547561186917,4.9,5511
Hospital #123,Vijaywada,Andhra Pradesh,Krishna,459.602,16.57496946794992,80.5339256079703,4.5,21
Hospital #124,Vijaywada,Andhra Pradesh,Krishna,459.602,16.51056210462941,80.69476758725568,4.7,2035
Hospital #125,Vijaywada,Andhra Pradesh,Krishna,459.602,16.489032683982018,80.5925762541472,4.0,63
Hospital #126,Vijaywada,Andhra Pradesh,Krishna,459.602,16.501845791909652,80.80125722148372,3.0,89
Hospital #127,Vijaywada,Andhra Pradesh,Krishna,459.602,16.52557298382739,80.62671607419266,2.9,531
Hospital #128,Vijaywada,Andhra Pradesh,Krishna,459.602,16.655084650826634,80.77154243353077,5.0,1
Hospital #129,Vijaywada,Andhra Pradesh,Krishna,459.602,16.385556695409537,80.40528360976532,3.7,3
Hospital #130,Vijaywada,Andhra Pradesh,Krishna,459.602,16.522763750860335,80.63159672160208,4.6,70
Hospital #131,Visakhapatnam,Andhra Pradesh,Visakhapatnam,1869.8,17.667822292413955,83.33556687867267,4.5,185
Hospital #132,Visakhapatnam,Andhra Pradesh,Visakhapatnam,1869.8,17.913677111784963,83.57976711461774,2.9,18
Hospital #133,Visakhapatnam,Andhra Pradesh,Visakhapatnam,1869.8,17.723589252087592,83.3044705107623,4.1,1893
Hospital #134,Visakhapatnam,Andhra Pradesh,Visakhapatnam,1869.8,17.720664513140477,83.31476180614747,4.3,739
Hospital #135,Visakhapatnam,Andhra Pradesh,Visakhapatnam,1869.8,17.712577776448352,83.29666865995605,4.5,892
Hospital #136,Visakhapatnam,Andhra Pradesh,Visakhapatnam,1869.8,17.73562872311609,83.29119067859388,3.5,103
Hospital #137,Visakhapatnam,Andhra Pradesh,Visakhapatnam,1869.8,17.588223794310938,83.23512654745976,2.9,68
Hospital #138,Visakhapatnam,Andhra Pradesh,Visakhapatnam,1869.8,17.723993917549137,83.28022134372048,4.8,3804
Hospital #139,Visakhapatnam,Andhra Pradesh,Visakhapatnam,1869.8,17.72872304458137,83.28788096076755,4.6,4917
Hospital #140,Visakhapatnam,Andhra Pradesh,Visakhapatnam,1869.8,17.73096551108286,83.30607488010678,4.0,136
Hospital #141,Visakhapatnam,Andhra Pradesh,Visakhapatnam,1869.8,17.722591557192708,83.18992755398475,4.6,19600
Hospital #142,Visakhapatnam,Andhra Pradesh,Visakhapatnam,1869.8,17.776889376851475,83.16773950460808,3.1,137
Hospital #143,Visakhapatnam,Andhra Pradesh,Visakhapatnam,1869.8,17.746367506941578,83.32876869143361,4.9,5864
Hospital #144,Visakhapatnam,Andhra Pradesh,Visakhapatnam,1869.8,17.67588146931173,83.33647267930243,4.0,262
Hospital #145,Visakhapatnam,Andhra Pradesh,Visakhapatnam,1869.8,17.734466034331238,83.2881362329191,4.1,1418
Hospital #146,Visakhapatnam,Andhra Pradesh,Visakhapatnam,1869.8,17.684085595634606,83.19157334180719,3.0,141
Hospital #147,Visakhapatnam,Andhra Pradesh,Visakhapatnam,1869.8,17.80116432928278,83.40645445307408,3.0,160
Hospital #148,Visakhapatnam,Andhra Pradesh,Visakhapatnam,1869.8,17.76397891160117,83.2806040528482,4.5,2079
Hospital #149,Visakhapatnam,Andhra Pradesh,Visakhapatnam,1869.8,17.91360592392028,83.36939613814201,4.3,16
Hospital #150,Visakhapatnam,Andhra Pradesh,Visakhapatnam,1869.8,17.70332331964755,83.36145202995594,3.5,144
Hospital #151,Visakhapatnam,Andhra Pradesh,Visakhapatnam,1869.8,17.795762926125985,83.39529621538634,4.5,51
Hospital #152,Visakhapatnam,Andhra Pradesh,Visakhapatnam,1869.8,17.69647167151717,83.27886265184665,4.2,131
Hospital #153,Visakhapatnam,Andhra Pradesh,Visakhapatnam,1869.8,17.74959756897612,82.9516131681602,3.5,16
